"","Gene_stable_ID","Gene_name","Comparison","logFC","PValue","study_specific_gene_details","Condition","Publication"
"40301","ENSAMXG00000004398","KCNMA1","Pachon-Rio Choy",0.125769059,0.832364148,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40304","ENSAMXG00000009139","zgc:171967","Pachon-Rio Choy",0.026503383,0.832615773,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40305","ENSAMXG00000021607","heatr5b","Pachon-Rio Choy",0.043000102,0.832769533,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40306","ENSAMXG00000011546","micall1a","Pachon-Rio Choy",-0.154869871,0.832802509,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40308","ENSAMXG00000020927","ankrd54","Pachon-Rio Choy",0.027300357,0.832889088,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40309","ENSAMXG00000024867","socs6b","Pachon-Rio Choy",-0.043265375,0.832918822,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40312","ENSAMXG00000012910","esd","Pachon-Rio Choy",0.034153262,0.833504503,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40316","ENSAMXG00000012001","pdpk1b","Pachon-Rio Choy",-0.051094408,0.833937752,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40317","ENSAMXG00000009816","snx27a","Pachon-Rio Choy",0.102835331,0.833984045,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40319","ENSAMXG00000005812","tppp3","Pachon-Rio Choy",-0.030803835,0.834103207,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40320","ENSAMXG00000020093","rfx7a","Pachon-Rio Choy",0.068018027,0.834337353,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40321","ENSAMXG00000005382","sf3a1","Pachon-Rio Choy",0.035857861,0.834407273,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40322","ENSAMXG00000011325","ugt1b2","Pachon-Rio Choy",-0.034841943,0.834435335,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40323","ENSAMXG00000009190","lrig1","Pachon-Rio Choy",-0.034707385,0.834570089,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40325","ENSAMXG00000012436","itsn1","Pachon-Rio Choy",-0.213319787,0.834766759,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40326","ENSAMXG00000001596","ppm1da","Pachon-Rio Choy",-0.024649421,0.834877931,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40329","ENSAMXG00000026463","gpr6","Pachon-Rio Choy",0.046577343,0.834971306,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40330","ENSAMXG00000012823","frmd4a","Pachon-Rio Choy",0.047158715,0.83497917,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40331","ENSAMXG00000010043","rnd3","Pachon-Rio Choy",-0.031615511,0.835023444,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40334","ENSAMXG00000014536","kpna3","Pachon-Rio Choy",-0.023509765,0.835256601,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40335","ENSAMXG00000012808","tbc1d8","Pachon-Rio Choy",-0.028349644,0.835428013,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40338","ENSAMXG00000016241","tepsin","Pachon-Rio Choy",-0.022059638,0.835670375,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40339","ENSAMXG00000017158","sema4ab","Pachon-Rio Choy",0.031463578,0.83568629,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40341","ENSAMXG00000019340","crlf1a","Pachon-Rio Choy",-0.13440234,0.836042604,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40343","ENSAMXG00000019146","kcnn2","Pachon-Rio Choy",0.170023171,0.836176573,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40346","ENSAMXG00000014437","btaf1","Pachon-Rio Choy",-0.045509509,0.83666212,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40353","ENSAMXG00000013206","ube4b","Pachon-Rio Choy",0.029334595,0.837326665,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40354","ENSAMXG00000012810","gabra5","Pachon-Rio Choy",0.179711,0.837326724,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40355","ENSAMXG00000014641","si:ch73-29c22.1","Pachon-Rio Choy",0.114602001,0.837403805,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40356","ENSAMXG00000021379","scn5lab","Pachon-Rio Choy",-0.137053529,0.837556625,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40359","ENSAMXG00000018322","cfap61","Pachon-Rio Choy",0.183772261,0.837842483,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40362","ENSAMXG00000006326","ephb2b","Pachon-Rio Choy",0.165331462,0.838021494,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40363","ENSAMXG00000006676","capns1","Pachon-Rio Choy",-0.597184825,0.838215672,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40365","ENSAMXG00000017113","hmgxb3","Pachon-Rio Choy",0.129322535,0.838369966,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40366","ENSAMXG00000004525","alpl","Pachon-Rio Choy",0.03482406,0.838395389,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40368","ENSAMXG00000012547","zbtb17","Pachon-Rio Choy",-0.065331991,0.838511881,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40370","ENSAMXG00000002064","nav1","Pachon-Rio Choy",-0.219853736,0.838792785,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40374","ENSAMXG00000024339","aoc2","Pachon-Rio Choy",-0.014279589,0.839494079,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40376","ENSAMXG00000004948","prkd4","Pachon-Rio Choy",0.114724515,0.839628753,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40378","ENSAMXG00000014592","ADGRA1","Pachon-Rio Choy",0.090888003,0.839757284,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40380","ENSAMXG00000020392","luzp1","Pachon-Rio Choy",-0.082811215,0.839905191,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40381","ENSAMXG00000016949","ap4e1","Pachon-Rio Choy",0.029092593,0.839968609,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40382","ENSAMXG00000003074","cep170aa","Pachon-Rio Choy",-0.048917905,0.840118264,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40383","ENSAMXG00000007740","arxa","Pachon-Rio Choy",0.034935363,0.840209018,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40387","ENSAMXG00000000798","ptk2ba","Pachon-Rio Choy",0.044379675,0.840450702,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40390","ENSAMXG00000019963","arhgef6","Pachon-Rio Choy",0.166547289,0.840680829,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40391","ENSAMXG00000001410","tnni4b.1","Pachon-Rio Choy",0.380615689,0.840705632,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40392","ENSAMXG00000006870","dbn1","Pachon-Rio Choy",0.026281205,0.840884145,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40394","ENSAMXG00000015657","si:ch73-215d9.1","Pachon-Rio Choy",-0.085731661,0.841020564,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40395","ENSAMXG00000010726","cdc123","Pachon-Rio Choy",0.18271861,0.841081948,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40396","ENSAMXG00000017918","tm2d1","Pachon-Rio Choy",0.021370283,0.841105715,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40399","ENSAMXG00000016763","si:ch73-389b16.2","Pachon-Rio Choy",-0.042671638,0.841232658,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40400","ENSAMXG00000006109","pptc7a","Pachon-Rio Choy",0.029978017,0.841237718,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40404","ENSAMXG00000005551","TRIM29 (16 of 37)","Pachon-Rio Choy",0.042721703,0.841461994,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40405","ENSAMXG00000002211","frs3","Pachon-Rio Choy",0.024251986,0.841553537,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40406","ENSAMXG00000001248","mpped2","Pachon-Rio Choy",-0.017203517,0.841644753,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40407","ENSAMXG00000024615","syngap1b","Pachon-Rio Choy",0.190226761,0.84179976,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40408","ENSAMXG00000015838","apaf1","Pachon-Rio Choy",-0.026130926,0.841801339,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40410","ENSAMXG00000008760","arhgef10la","Pachon-Rio Choy",-0.068564959,0.841896631,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40412","ENSAMXG00000000799","pltp","Pachon-Rio Choy",-0.372444187,0.841968092,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40413","ENSAMXG00000001354","ranbp3b","Pachon-Rio Choy",-0.109646393,0.842043206,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40417","ENSAMXG00000004449","cdkl2","Pachon-Rio Choy",-0.128725426,0.842280923,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40418","ENSAMXG00000025193","MFSD3","Pachon-Rio Choy",0.044911338,0.842432293,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40419","ENSAMXG00000007414","dock8","Pachon-Rio Choy",0.034993615,0.842515853,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40421","ENSAMXG00000018091","stil","Pachon-Rio Choy",-0.09600552,0.842728695,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40422","ENSAMXG00000015808","qki","Pachon-Rio Choy",0.323223959,0.842827108,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40423","ENSAMXG00000004783","rnf128a","Pachon-Rio Choy",0.021297802,0.843031029,"Arrhythmic","Between morph","Mack_et_al_2020"
"40424","ENSAMXG00000008910","RNF11 (1 of 2)","Pachon-Rio Choy",-0.023656287,0.843091388,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40426","ENSAMXG00000000036","prdm2a","Pachon-Rio Choy",0.144382279,0.843519882,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40430","ENSAMXG00000009969","rbms1","Pachon-Rio Choy",-0.576292191,0.84381613,NA,"Between morph","Mack_et_al_2020"
"40431","ENSAMXG00000017796","dars1","Pachon-Rio Choy",-0.576292191,0.84381613,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40432","ENSAMXG00000013102","dvl2","Pachon-Rio Choy",0.023454575,0.843872161,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40441","ENSAMXG00000019445","npr3","Pachon-Rio Choy",-0.018818909,0.844484194,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40442","ENSAMXG00000010892","nck1b","Pachon-Rio Choy",0.034810052,0.844502048,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40443","ENSAMXG00000015916","tjp3","Pachon-Rio Choy",-0.031059444,0.844538494,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40444","ENSAMXG00000007641","sema3gb","Pachon-Rio Choy",-0.109188525,0.844569346,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40445","ENSAMXG00000026002","or129-1","Pachon-Rio Choy",-0.235583223,0.844590333,NA,"Between morph","Mack_et_al_2020"
"40447","ENSAMXG00000014208","ranbp9","Pachon-Rio Choy",-0.099657769,0.844863352,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40448","ENSAMXG00000012263","ubash3ba","Pachon-Rio Choy",-0.158621311,0.844871122,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40453","ENSAMXG00000013903","nexmifb","Pachon-Rio Choy",-0.130676995,0.845456063,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40456","ENSAMXG00000010355","ncdn","Pachon-Rio Choy",-0.01440709,0.845798232,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40457","ENSAMXG00000002473","myt1b","Pachon-Rio Choy",-0.17354824,0.84593421,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40458","ENSAMXG00000009862","fcho2","Pachon-Rio Choy",-0.028942614,0.846158086,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40459","ENSAMXG00000002094","met","Pachon-Rio Choy",-0.06278911,0.84630072,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40461","ENSAMXG00000013533","ap2b1","Pachon-Rio Choy",0.021968548,0.846770819,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40462","ENSAMXG00000000491","rims1","Pachon-Rio Choy",-0.198510912,0.846872242,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40463","ENSAMXG00000007793","lhx8a","Pachon-Rio Choy",0.229910065,0.846993784,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40464","ENSAMXG00000016745","cpsf6","Pachon-Rio Choy",-0.042167061,0.847052,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40467","ENSAMXG00000014680","zgc:122979","Pachon-Rio Choy",-0.116394938,0.847457333,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40468","ENSAMXG00000025807","sertad2b","Pachon-Rio Choy",0.027481104,0.847612402,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40470","ENSAMXG00000016601","igfn1.1","Pachon-Rio Choy",0.079409126,0.847785445,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40473","ENSAMXG00000021167","spaw","Pachon-Rio Choy",0.224195975,0.847976065,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40474","ENSAMXG00000007277","pde11a","Pachon-Rio Choy",-0.163934888,0.848125899,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40475","ENSAMXG00000003299","wrap53","Pachon-Rio Choy",0.027374694,0.848206079,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40476","ENSAMXG00000019946","hdlbpb","Pachon-Rio Choy",-0.338267718,0.84839985,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40477","ENSAMXG00000002523","kcnh1a","Pachon-Rio Choy",-0.439963905,0.848419075,NA,"Between morph","Mack_et_al_2020"
"40479","ENSAMXG00000000574","pde11al","Pachon-Rio Choy",-0.199825981,0.848601917,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40480","ENSAMXG00000018680","pear1","Pachon-Rio Choy",-0.036617334,0.848620926,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40483","ENSAMXG00000002183","si:ch211-165b19.5","Pachon-Rio Choy",0.424730483,0.848778496,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40485","ENSAMXG00000025952","tssc4","Pachon-Rio Choy",0.013804909,0.84892365,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40486","ENSAMXG00000016249","smg9","Pachon-Rio Choy",-0.017330046,0.84898887,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40487","ENSAMXG00000014155","camsap1b","Pachon-Rio Choy",0.063840065,0.848999908,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40488","ENSAMXG00000007065","hnrnpa3","Pachon-Rio Choy",0.070874611,0.849086897,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40490","ENSAMXG00000019613","adamtsl3","Pachon-Rio Choy",-0.113693136,0.849164451,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40495","ENSAMXG00000015106","mdh1b","Pachon-Rio Choy",0.181879342,0.850334921,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40497","ENSAMXG00000013276","pik3cd","Pachon-Rio Choy",0.138351077,0.850508739,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40499","ENSAMXG00000002931","dyrk1ab","Pachon-Rio Choy",0.030264978,0.850644984,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40500","ENSAMXG00000021213","onecut1","Pachon-Rio Choy",0.277647276,0.850823676,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40501","ENSAMXG00000000053","plekho1b","Pachon-Rio Choy",0.03507083,0.85105349,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40502","ENSAMXG00000021477","cstf2","Pachon-Rio Choy",-0.047704352,0.851132424,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40505","ENSAMXG00000021515","taf7","Pachon-Rio Choy",0.548322044,0.851307566,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40507","ENSAMXG00000003572","si:dkey-165a24.9","Pachon-Rio Choy",0.088372784,0.851516514,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40508","ENSAMXG00000018448","ccser2b","Pachon-Rio Choy",-0.113758185,0.851548691,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40509","ENSAMXG00000011164","si:dkeyp-3f10.17","Pachon-Rio Choy",0.250558168,0.851556437,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40510","ENSAMXG00000000929","mcm8","Pachon-Rio Choy",-0.192653938,0.851623108,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40511","ENSAMXG00000003542","obsl1b","Pachon-Rio Choy",-0.090164684,0.851652506,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40515","ENSAMXG00000001057","dlgap4","Pachon-Rio Choy",-0.125005218,0.85189081,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40516","ENSAMXG00000020926","ifrd1","Pachon-Rio Choy",-0.029858017,0.851914195,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40519","ENSAMXG00000021176","ext1b","Pachon-Rio Choy",-0.069473182,0.852238236,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40520","ENSAMXG00000013893","capn5a","Pachon-Rio Choy",-0.124555678,0.852389106,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40522","ENSAMXG00000011364","ppip5k2","Pachon-Rio Choy",0.036043091,0.852615432,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40523","ENSAMXG00000002516","grin2aa","Pachon-Rio Choy",0.328290275,0.85261947,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40525","ENSAMXG00000019485","commd7","Pachon-Rio Choy",0.147463055,0.853506637,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40527","ENSAMXG00000018077","ptprm","Pachon-Rio Choy",0.029398048,0.853788403,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40528","ENSAMXG00000012409","sltm","Pachon-Rio Choy",-0.080055767,0.853960182,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40531","ENSAMXG00000002102","cep85","Pachon-Rio Choy",0.025993858,0.854084072,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40533","ENSAMXG00000018632","dvl3a","Pachon-Rio Choy",-0.041238801,0.854258794,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40536","ENSAMXG00000009259","traf2b","Pachon-Rio Choy",0.050200149,0.854635771,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40537","ENSAMXG00000016752","soga1","Pachon-Rio Choy",0.100844326,0.854694848,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40541","ENSAMXG00000017810","cpamd8","Pachon-Rio Choy",0.029086251,0.855294923,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40543","ENSAMXG00000017724","ell","Pachon-Rio Choy",0.024586654,0.85538063,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40544","ENSAMXG00000003433","capslb","Pachon-Rio Choy",-0.246503791,0.855398761,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40545","ENSAMXG00000007103","map3k5","Pachon-Rio Choy",-0.040895795,0.855399678,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40550","ENSAMXG00000000506","syne1b","Pachon-Rio Choy",0.046975358,0.856302449,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40551","ENSAMXG00000007640","lsamp","Pachon-Rio Choy",0.239137156,0.856582861,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40552","ENSAMXG00000015732","spock1","Pachon-Rio Choy",-0.063620703,0.857156703,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40553","ENSAMXG00000025172","si:dkey-175m17.6","Pachon-Rio Choy",-0.037393471,0.857468281,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40554","ENSAMXG00000018329","asb1","Pachon-Rio Choy",-0.021670842,0.857475451,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40555","ENSAMXG00000002174","pcdh15a","Pachon-Rio Choy",0.155278328,0.857633158,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40557","ENSAMXG00000001368","uba7","Pachon-Rio Choy",0.25666758,0.857692885,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40559","ENSAMXG00000007495","doc2b","Pachon-Rio Choy",-0.25528692,0.858242754,NA,"Between morph","Mack_et_al_2020"
"40560","ENSAMXG00000019601","slc18a1","Pachon-Rio Choy",-0.07792236,0.858404971,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40565","ENSAMXG00000008571","ints6l","Pachon-Rio Choy",-0.088016998,0.859017996,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40566","ENSAMXG00000004495","arhgap42a","Pachon-Rio Choy",0.140107854,0.859104573,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40567","ENSAMXG00000019848","zgc:158659","Pachon-Rio Choy",0.092337028,0.859112088,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40569","ENSAMXG00000015110","mastl","Pachon-Rio Choy",0.056779851,0.859287714,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40570","ENSAMXG00000021415","igf1rb","Pachon-Rio Choy",-0.086397077,0.85941204,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40575","ENSAMXG00000007155","cluap1","Pachon-Rio Choy",0.153046071,0.859839705,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40576","ENSAMXG00000008575","crispld1b","Pachon-Rio Choy",0.101805821,0.859972453,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40579","ENSAMXG00000011586","prrc2a","Pachon-Rio Choy",0.051378524,0.860349383,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40582","ENSAMXG00000002554","clec16a","Pachon-Rio Choy",0.101315024,0.860402448,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40584","ENSAMXG00000018805","ensaa","Pachon-Rio Choy",0.012850041,0.86051494,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40585","ENSAMXG00000002749","nr1d2a","Pachon-Rio Choy",-0.07059746,0.860553322,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40586","ENSAMXG00000004768","recql4","Pachon-Rio Choy",-0.216820977,0.86059978,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40587","ENSAMXG00000019807","dennd1a","Pachon-Rio Choy",-0.066341854,0.860602167,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40590","ENSAMXG00000018057","esco2","Pachon-Rio Choy",-0.041794909,0.860781016,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40592","ENSAMXG00000010859","cbfa2t3","Pachon-Rio Choy",0.160885788,0.861107455,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40595","ENSAMXG00000007001","hoxd3a","Pachon-Rio Choy",0.02575708,0.861260675,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40598","ENSAMXG00000019362","acvr1l","Pachon-Rio Choy",-0.211761444,0.861402406,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40601","ENSAMXG00000013217","nap1l1","Pachon-Rio Choy",-0.013330478,0.861803642,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40602","ENSAMXG00000018410","arhgef12a","Pachon-Rio Choy",0.164248614,0.86190985,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40603","ENSAMXG00000008735","ythdc2","Pachon-Rio Choy",-0.117501816,0.862168793,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40604","ENSAMXG00000011060","mus81","Pachon-Rio Choy",0.191835381,0.862186661,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40605","ENSAMXG00000006145","uacab","Pachon-Rio Choy",0.03729058,0.862307873,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40606","ENSAMXG00000005764","fgd6","Pachon-Rio Choy",0.033313097,0.86230897,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40609","ENSAMXG00000012670","hk1","Pachon-Rio Choy",0.026835244,0.862737034,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40610","ENSAMXG00000018777","dthd1","Pachon-Rio Choy",0.202413675,0.86278317,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40611","ENSAMXG00000005303","htra3a","Pachon-Rio Choy",-0.028971972,0.862861074,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40612","ENSAMXG00000015541","esco1","Pachon-Rio Choy",0.096852145,0.862909918,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40613","ENSAMXG00000002227","hps1","Pachon-Rio Choy",0.016716681,0.862958077,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40615","ENSAMXG00000020818","nmnat2","Pachon-Rio Choy",0.128022448,0.863298327,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40616","ENSAMXG00000018652","gale","Pachon-Rio Choy",0.026319721,0.863351807,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40618","ENSAMXG00000024968","skida1","Pachon-Rio Choy",-0.02819194,0.863668757,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40619","ENSAMXG00000026072","gpr34b","Pachon-Rio Choy",0.036924074,0.863717978,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40621","ENSAMXG00000011635","si:dkey-13p1.4","Pachon-Rio Choy",-0.285303135,0.863848352,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40623","ENSAMXG00000004253","GPR26","Pachon-Rio Choy",-0.12909852,0.864028072,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40624","ENSAMXG00000005993","ipo11","Pachon-Rio Choy",-0.049042616,0.864084446,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40625","ENSAMXG00000015716","tmprss9","Pachon-Rio Choy",-0.238662127,0.864095234,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40626","ENSAMXG00000001538","adal","Pachon-Rio Choy",0.018091885,0.864162003,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40627","ENSAMXG00000013159","gtpbp1l","Pachon-Rio Choy",-0.166181955,0.864210742,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40628","ENSAMXG00000011437","ints3","Pachon-Rio Choy",-0.03423473,0.864312311,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40629","ENSAMXG00000018718","abcb11b","Pachon-Rio Choy",-0.029198515,0.864344587,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40630","ENSAMXG00000021207","rock2a","Pachon-Rio Choy",0.036859453,0.864535484,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40631","ENSAMXG00000014004","siglec15l (3 of 3)","Pachon-Rio Choy",-0.265625018,0.864537237,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
"40632","ENSAMXG00000021006","rtf1","Pachon-Rio Choy",-0.117277982,0.86499046,"Rhythmic_Molino","Between morph","Mack_et_al_2020"
