Gene_stable_ID,Comparison,logFC,PValue,Gene_name,Gene_description,Ensembl_Family_Description,Condition,Publication,Age_at_Sampling,Tissue
ENSAMXG00000016150,Rio Choy-Control,0.162102387,0.368968411,ywhaba,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016153,Rio Choy-Control,-0.131834395,0.676705028,trim108,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016154,Rio Choy-Control,-0.328766231,0.120806331,dennd6b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016157,Rio Choy-Control,-0.752979936,0.008648574,si:ch211-283g2.1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016160,Rio Choy-Control,-0.020519086,0.952103381,aimp1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016164,Rio Choy-Control,-0.47757674,0.202966475,slc38a10,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016165,Rio Choy-Control,0.141269307,0.526124861,abcb4,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016168,Rio Choy-Control,-0.305145602,0.338151692,setdb1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016169,Rio Choy-Control,-0.033987804,0.903443974,dhrs7cb,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016172,Rio Choy-Control,-0.174871464,0.600781007,ap1s3a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016175,Rio Choy-Control,0.190751042,0.238496033,hmgcrb,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016177,Rio Choy-Control,0.035555726,0.909214501,DOCK2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016179,Rio Choy-Control,-0.498350258,0.083499913,flot2a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016183,Rio Choy-Control,-0.791520742,0.056188652,tmco3,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016184,Rio Choy-Control,-0.997059078,0.042432764,znf687a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016185,Rio Choy-Control,-0.190299421,0.59770473,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016187,Rio Choy-Control,-1.809812617,0.000643604,SLC13A2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016188,Rio Choy-Control,-0.115365162,0.787778383,acsl3a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016189,Rio Choy-Control,0.567089818,0.560948828,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016195,Rio Choy-Control,-3.309044124,0.015777131,hrh2a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016202,Rio Choy-Control,0.230483392,0.220794112,tfdp1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016204,Rio Choy-Control,-0.545960585,0.275794292,si:dkey-71b5.7,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016205,Rio Choy-Control,0.214328134,0.364108224,KCNIP1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016210,Rio Choy-Control,0.517952965,0.072082308,txnrd3,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016214,Rio Choy-Control,-5.162952252,0.004747427,ATP4B,ATPase H+/K+ transporting subunit beta [Source:NCBI gene;Acc:103023943],SODIUM/POTASSIUM TRANSPORTING ATPASE SUBUNIT BETA SODIUM/POTASSIUM DEPENDENT ATPASE SUBUNIT BETA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016215,Rio Choy-Control,-1.757374356,2.40E-05,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016216,Rio Choy-Control,-0.976003174,0.013086061,zgc:92275,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016218,Rio Choy-Control,-1.230572755,0.108157146,rundc3b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016219,Rio Choy-Control,-0.707677744,0.274579842,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016223,Rio Choy-Control,-0.04838732,0.820232757,irf5,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016224,Rio Choy-Control,2.201970812,0.078028094,SLC41A3,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016226,Rio Choy-Control,0.463332417,0.030956689,dap3,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016228,Rio Choy-Control,-0.804217297,0.121557991,insrb,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016230,Rio Choy-Control,-0.066736259,0.940819067,cel.2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016231,Rio Choy-Control,0.191223416,0.557039057,NDUFAF8,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016232,Rio Choy-Control,-0.03636189,0.926192633,wu:fj29h11,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016233,Rio Choy-Control,-0.361709966,0.060103229,aldh1l1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016234,Rio Choy-Control,-0.953881323,0.183602012,atp8b2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016236,Rio Choy-Control,0.209657053,0.457828035,tnpo3,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016238,Rio Choy-Control,0.401047788,0.175945856,exosc8,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016241,Rio Choy-Control,0.167965528,0.541044757,tepsin,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016242,Rio Choy-Control,0.157761195,0.694435261,aqp10a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016243,Rio Choy-Control,0.160865307,0.602262858,sult2st2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016244,Rio Choy-Control,-0.706336206,0.159808749,zgc:152774,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016246,Rio Choy-Control,-0.318998763,0.526347371,cfap100,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016247,Rio Choy-Control,-0.637056181,0.035141625,si:ch211-176g6.2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016249,Rio Choy-Control,0.095213468,0.687400175,smg9,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016250,Rio Choy-Control,-0.0385455,0.895803305,C1orf43,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016251,Rio Choy-Control,-0.050263557,0.850860058,cldn12,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016252,Rio Choy-Control,-0.029839705,0.93607557,pidd1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016253,Rio Choy-Control,-0.422249393,0.109585718,abcc3,ATP binding cassette subfamily C member 3 [Source:NCBI gene;Acc:103023748],UNKNOWN,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016255,Rio Choy-Control,0.137689886,0.538175919,gtf3c5,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016257,Rio Choy-Control,-0.273429,0.327398361,tbc1d9,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016260,Rio Choy-Control,-0.637908255,0.215079978,wfikkn2b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016262,Rio Choy-Control,-0.227398651,0.922130812,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016263,Rio Choy-Control,0.083370059,0.785077156,tuft1a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016264,Rio Choy-Control,0.266502856,0.616950834,hephl1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016265,Rio Choy-Control,-0.159836629,0.713496376,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016266,Rio Choy-Control,0.158571919,0.707637155,CPNE9,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016267,Rio Choy-Control,0.76304667,0.006850157,calua,calumenin [Source:NCBI gene;Acc:103043492],PRECURSOR,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016269,Rio Choy-Control,0.752371961,0.04604939,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016270,Rio Choy-Control,-0.3382674,0.22725663,SPAG9,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016271,Rio Choy-Control,-0.489904762,0.43466096,adam22,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016275,Rio Choy-Control,0.104096391,0.683383592,ube2g1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016281,Rio Choy-Control,-0.376486686,0.477177604,lhfpl4a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016282,Rio Choy-Control,0.185379267,0.611094697,she,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016283,Rio Choy-Control,0.024908558,0.936150875,impdh1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016284,Rio Choy-Control,0.017324224,0.934353149,daglb,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016285,Rio Choy-Control,0.064337592,0.907484326,npvf,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016286,Rio Choy-Control,-0.641966096,0.695952485,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016290,Rio Choy-Control,-0.971661609,0.05023736,setd5,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016292,Rio Choy-Control,0.167833468,0.580588886,bcl2l10,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016293,Rio Choy-Control,0.426657133,0.06179591,gpn3,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016297,Rio Choy-Control,0.028922937,0.94904626,chrnb2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016299,Rio Choy-Control,-0.898490161,0.094640633,si:ch211-257p13.3,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016300,Rio Choy-Control,0.538105467,0.654360884,rnf38,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016301,Rio Choy-Control,0.728414245,0.815198225,adad1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016302,Rio Choy-Control,0.359102005,0.08495139,si:dkey-19e4.5,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016304,Rio Choy-Control,0.099890971,0.688720746,synm,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016306,Rio Choy-Control,-0.361233063,0.373381337,camk1da,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016309,Rio Choy-Control,0.652903946,0.025944748,mettl9,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016313,Rio Choy-Control,0.06520792,0.869294297,pdzd8,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016315,Rio Choy-Control,0.143399119,0.483555251,washc5,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016316,Rio Choy-Control,-1.10142664,0.015742932,pbxip1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016318,Rio Choy-Control,0.472099144,0.01023051,snd1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016319,Rio Choy-Control,0.504278265,0.021202414,ccdc12,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016321,Rio Choy-Control,-0.439585753,0.403467857,bcr,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016322,Rio Choy-Control,0.097253589,0.84962153,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016323,Rio Choy-Control,-0.093960007,0.73122336,bicral,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016324,Rio Choy-Control,-0.049477334,0.96511169,tlr19,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016325,Rio Choy-Control,0.225166647,0.489143289,atad2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016326,Rio Choy-Control,0.110860515,0.655690772,ascc2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016328,Rio Choy-Control,-0.02083372,0.94495344,polr3e,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016329,Rio Choy-Control,-0.334072155,0.311437508,plxnb1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016330,Rio Choy-Control,0.230356201,0.627994005,ccdc3a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016331,Rio Choy-Control,0.310527947,0.52581643,slc18a2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016334,Rio Choy-Control,-0.233604467,0.678905816,shc1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016335,Rio Choy-Control,0.246803491,0.364934875,psma2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016337,Rio Choy-Control,-0.156539453,0.562187067,optn,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016338,Rio Choy-Control,-0.834133299,0.507859262,pax4,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016339,Rio Choy-Control,-0.087284658,0.825962389,IL17B,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016340,Rio Choy-Control,-0.54848142,0.081098679,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016343,Rio Choy-Control,-0.49080126,0.307942758,nbeal2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016346,Rio Choy-Control,0.08534006,0.799234845,si:ch211-255g12.6,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016351,Rio Choy-Control,0.020519562,0.961149391,fhit,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016353,Rio Choy-Control,-1.227706113,0.051124258,zdhhc8b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016354,Rio Choy-Control,0.082504461,0.839318995,hgfa,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016355,Rio Choy-Control,-1.291207776,0.050196407,wnk1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016356,Rio Choy-Control,0.177882752,0.335347533,wdr13,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016359,Rio Choy-Control,-0.834287198,0.158704594,sh3pxd2b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016361,Rio Choy-Control,0.228262267,0.907388701,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016362,Rio Choy-Control,-0.044120905,0.920926558,NA,coiled-coil domain-containing protein 127-like [Source:NCBI gene;Acc:103047674],COILED COIL DOMAIN CONTAINING 127,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016363,Rio Choy-Control,0.205340855,0.399375777,SFMBT1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016364,Rio Choy-Control,-0.173644174,0.460786005,NCBP1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016365,Rio Choy-Control,0.26095425,0.224368445,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016371,Rio Choy-Control,-0.254420103,0.539170067,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016372,Rio Choy-Control,-0.725548349,0.032161988,ptprga,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016374,Rio Choy-Control,-0.263237075,0.56214933,ninj2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016375,Rio Choy-Control,0.287862347,0.528183579,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016381,Rio Choy-Control,0.178885586,0.594023372,haus5,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016383,Rio Choy-Control,-1.109997273,0.054689025,stk10,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016386,Rio Choy-Control,-0.80117478,0.200828505,ERC1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016390,Rio Choy-Control,-0.067571697,0.820971266,acvr1bb,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016391,Rio Choy-Control,0.027970144,0.892294393,smu1a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016392,Rio Choy-Control,0.261778816,0.811834434,HBE1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016393,Rio Choy-Control,-0.200371841,0.789003495,sqlea,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016394,Rio Choy-Control,-0.320347214,0.34566267,ripk1l,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016400,Rio Choy-Control,-0.278751459,0.238826985,supt20,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016402,Rio Choy-Control,0.162355066,0.594093124,elp1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016403,Rio Choy-Control,-0.330281322,0.087311393,fzr1a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016404,Rio Choy-Control,-0.330507352,0.12690795,oxr1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016406,Rio Choy-Control,-0.329339436,0.579614423,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016407,Rio Choy-Control,-0.915655134,0.045894064,fbrsl1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016409,Rio Choy-Control,0.029833786,0.925219161,mustn1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016415,Rio Choy-Control,0.118374791,0.68961683,si:dkey-122a22.2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016416,Rio Choy-Control,0.409642151,0.104682657,cse1l,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016417,Rio Choy-Control,-0.245506105,0.412649088,tbc1d2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016418,Rio Choy-Control,0.644248285,0.068011445,dohh,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016419,Rio Choy-Control,-0.310487004,0.593933586,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016423,Rio Choy-Control,-0.666993362,0.094352874,slc44a1b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016425,Rio Choy-Control,-0.305630399,0.333268709,zer1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016427,Rio Choy-Control,-2.3262192,0.114785778,nfic,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016428,Rio Choy-Control,0.063606157,0.768851286,erbb3a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016429,Rio Choy-Control,-1.900234072,0.057365419,snx27b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016432,Rio Choy-Control,-0.26940313,0.420535486,ABCA1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016434,Rio Choy-Control,0.131182493,0.690713939,arf3a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016435,Rio Choy-Control,-0.650651078,0.28357939,MFSD12,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016436,Rio Choy-Control,0.165860248,0.399659193,dpys,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016438,Rio Choy-Control,0.240016555,0.539360733,has1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016441,Rio Choy-Control,0.264182891,0.338134155,nipsnap3a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016446,Rio Choy-Control,-0.233065702,0.401952854,pnpla8,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016453,Rio Choy-Control,-0.335060576,0.275445823,taf4a,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016454,Rio Choy-Control,-0.436774191,0.122900526,csnk1g2b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016455,Rio Choy-Control,-0.579600732,0.061239145,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016460,Rio Choy-Control,-0.774900184,0.279676566,adar,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016463,Rio Choy-Control,-0.074580816,0.849051582,rexo1,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016465,Rio Choy-Control,-0.196520874,0.569048942,irf7,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016466,Rio Choy-Control,-0.53157733,0.246009741,nrcama,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016468,Rio Choy-Control,0.066284983,0.798839009,RIMS2,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016470,Rio Choy-Control,-0.943902658,0.031800378,cdh4,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016474,Rio Choy-Control,-0.720146645,0.156757772,RALGDS,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016477,Rio Choy-Control,-0.564234236,0.122237666,zap70,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016479,Rio Choy-Control,-0.54938558,0.052118782,ttc39b,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016480,Rio Choy-Control,-0.58769911,0.061808928,slc5a8l,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016482,Rio Choy-Control,-0.887666817,0.011041791,pgghg,protein-glucosylgalactosylhydroxylysine glucosidase [Source:NCBI gene;Acc:103031131],ACID TREHALASE PRECURSOR EC_3.2.1.28 ALPHA ALPHA TREHALASE ALPHA ALPHA TREHALOSE GLUCOHYDROLASE,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016485,Rio Choy-Control,-1.17842017,0.060815785,adamts10,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016487,Rio Choy-Control,-0.566500108,0.366900715,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016488,Rio Choy-Control,0.631702366,0.380852662,LRRC56,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
ENSAMXG00000016489,Rio Choy-Control,-0.643233967,0.230289479,NA,NA,NA,Sleep deprivation,McGaugh_et_al_2020,30 dpf,Whole organism
